Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2328    2.330    0.001    5.170    0.002 motion.py:91(check_collisions)
    17620    1.201    0.000    3.178    0.000 layout.py:323(place)
    22085    0.893    0.000    1.823    0.000 layout.py:1040(_flow_glyphs_wrap)
  1233717    0.806    0.000    0.806    0.000 box.py:79(top)
    55673    0.753    0.000    1.212    0.000 vertexdomain.py:436(_set_attribute_data)
   321143    0.724    0.000    0.891    0.000 base.py:64(<lambda>)
     1164    0.641    0.001   10.428    0.009 debug.py:177(m_draw)
     1164    0.638    0.001    3.335    0.003 image.py:56(m_draw)
     5538    0.625    0.000    0.732    0.000 win32.py:101(step)
     2488    0.614    0.000    0.623    0.000 vertexattribute.py:349(set_region)
   856157    0.605    0.000    0.605    0.000 box.py:63(right)
  1210564    0.603    0.000    0.603    0.000 box.py:71(bottom)
   321143    0.552    0.000    1.866    0.000 base.py:69(_grapheme_break)
  1273032    0.441    0.000    0.595    0.000 entity.py:44(__getitem__)
   836459    0.434    0.000    0.434    0.000 box.py:55(left)
   466494    0.388    0.000    0.514    0.000 runlist.py:381(__getitem__)
     1499    0.363    0.000    0.393    0.000 win32.py:212(set_current)
     8216    0.341    0.000    0.451    0.000 {method 'sort' of 'list' objects}
    84787    0.330    0.000    0.330    0.000 lib_wgl.py:80(__call__)
   107816    0.303    0.000    0.829    0.000 sprite.py:392(_update_position)
        1    0.295    0.295    0.295    0.295 win32.py:29(_get_pixel_format_descriptor_matching_configs)
     1164    0.239    0.000    6.241    0.005 motion.py:55(m_tick)
     1164    0.223    0.000    0.561    0.000 debug.py:124(find_targeted)
   107816    0.218    0.000    0.218    0.000 sprite.py:429(<listcomp>)
   117825    0.213    0.000    0.642    0.000 box.py:91(rectangle)
   217727    0.209    0.000    0.323    0.000 vertexbuffer.py:466(invalidate)
     1164    0.201    0.000    0.286    0.000 __main__.py:35(m_tick)
   149289    0.188    0.000    0.480    0.000 __init__.py:44(box_overlap)
15616/7910    0.185    0.000   21.615    0.003 world.py:89(handle_message)
     1523    0.184    0.000    2.079    0.001 base.py:109(get_grapheme_clusters)
